skill,filter_type,skill_subsuper,freqcy_2015,freqcy_2016,freqcy_2017,y2015_71338,y2016_232021,y2017_129322
senior executives,no_filter,,142,449,303,,,
meet deadlines,no_filter,,143,2247,1510,,,
green,subsuper,,143,723,410,,,
versatile,no_filter,,143,422,282,,,
manufacture,no_filter,,144,89,71,,,
lifestyle,no_filter,,145,208,199,,,
detail oriented,no_filter,,150,2409,1809,,,
architectures,no_filter,,150,1077,548,,,
settlements,no_filter,,150,263,143,,,
estimating,subsuper,,150,197,137,,,
client engagement,subsuper,,151,162,66,,,
beauty,no_filter,,152,944,385,,,
guest satisfaction,no_filter,,153,19,25,,,
team oriented,no_filter,,155,1069,782,,,
new product introduction,no_filter,,156,61,64,,,
tax returns,no_filter,,156,29,21,,,
organizational skills,no_filter,,156,4186,0,,,
origination,subsuper,,161,136,79,,,
computers,subsuper,,162,493,263,,,
stress,no_filter,,163,1801,937,,,
switch,subsuper,,164,482,299,,,
strong analytical skills,subsuper,,168,3390,0,,,
commentary,no_filter,,169,45,22,,,
origin,no_filter,,170,732,546,,,
customs,subsuper,,173,274,148,,,
communication skill,subsuper,,175,2789,0,,,
intervention,no_filter,,176,136,73,,,
self driven,subsuper,,179,2854,1812,,,
