skill_name,count
computer literacy,2489
forecasting,2488
organizing,2483
gmp,2468
banking and finance,2465
customer satisfaction,2458
pay,2446
publications,2438
process improvement,2438
hygiene,2436
google,2427
reach,2422
budgeting,2400
investment banking,2398
electronic engineering,2390
intelligence,2383
treasury,2380
design development,2354
uat,2354
fmcg,2350
protection,2349
nursing,2346
software engineering,2343
firewall,2341
programming languages,2339
commissioning,2330
wan,2325
demand,2323
ccna,2323
privacy,2315
physics,2311
audits,2310
margin,2295
debugging,2292
listening,2285
eye for detail,2283
purchase,2272
professional experience,2272
reading,2259
art,2257
administrative support,2252
less,2250
semiconductor,2249
verification,2243
switches,2234
wealth management,2227
power point,2227
sales and marketing,2224
mvc,2219
computer skills,2211
mentoring,2207
sas,2197
shooting,2193
escalation,2193
tender,2189
dynamics,2188
json,2187
recruiting,2187
script,2177
big data,2165
multinational,2158
pipeline,2154
business units,2148
product knowledge,2147
dns,2145
routing,2141
automotive,2133
profit,2129
smart,2115
export,2107
hadoop,2107
workshops,2104
real estate,2096
data management,2096
reconciliation,2095
jsp,2088
systematic,2072
profitability,2058
ajax,2056
virtualization,2055
supervisory experience,2054
b2b,2039
trust,2037
property,2036
secretarial,2034
front office,2034
taleo,2033
native,2028
assembly,2027
wireless,2027
professional services,2027
investigation,2019
layout,2016
organisational,2016
supply chain management,2010
hibernate,2009
etl,2008
team oriented,2006
vendor management,2006
algorithms,1995
sea,1994
matlab,1994
shell scripting,1992
structural engineering,1985
solver,1977
lean,1965
fabrication,1964
presenting,1960
it infrastructure,1959
reliability,1957
client service,1956
apache,1945
intermediate,1944
soap,1936
relationship building,1935
analyses,1933
product management,1930
service delivery,1928
billing,1916
campaign,1915
instrumentation,1915
design patterns,1913
petrochemical,1911
career opportunities,1901
disciplined,1895
lcci,1893
simulation,1889
apis,1886
editing,1882
wealth,1880
team work,1871
costing,1867
transformation,1865
conferences,1863
firewalls,1860
data analytics,1860
facilitation,1855
information security,1853
aml,1849
sense of responsibility,1848
machine learning,1847
administrator,1846
work ethic,1844
messaging,1841
quality control,1840
windows server,1836
performance tuning,1831
edge,1831
warehousing,1825
deals,1825
pre sales,1823
jira,1823
housekeeping,1823
freight,1822
chef,1820
vba,1818
options,1816
rewards,1808
derivatives,1807
performance management,1800
web applications,1799
partnerships,1797
personal data protection,1796
data entry,1792
web development,1784
test cases,1779
architectures,1775
routers,1775
quotations,1775
fashion,1771
real time,1770
critical thinking,1769
salesforce,1765
price,1759
image,1754
strong business acumen,1750
financial reporting,1735
